"Feature","Gain","Cover","Frequency"
"X36",0.108884036348868,0.044784916442941,0.0334645669291339
"X30",0.102651729089604,0.100283117518706,0.031496062992126
"X10",0.0873659731029079,0.0857166707276716,0.0236220472440945
"X9",0.0650551447233477,0.0106691905136525,0.0551181102362205
"X34",0.0548732836269271,0.0798615508592987,0.0354330708661417
"X19",0.0433936503398099,0.00836701369505683,0.0511811023622047
"X4",0.0389344312785455,0.0508188163743214,0.0374015748031496
"X18",0.0371927494946235,0.0584893658103983,0.0374015748031496
"X25",0.0356991246338341,0.0389918427354215,0.0334645669291339
"X29",0.035693063680031,0.0617491825873114,0.0255905511811024
"X23",0.0337263985285552,0.00352547971760528,0.0433070866141732
"X16",0.0335846293883729,0.111003973858607,0.0354330708661417
"X12",0.0326556414591088,0.00942130161319356,0.0255905511811024
"X3",0.0277096858763313,0.005149177645078,0.0295275590551181
"X28",0.0262465754401919,0.0119321223370261,0.0433070866141732
"X11",0.0258581331040661,0.0491504034353915,0.0255905511811024
"X15",0.0226521305992045,0.00270573783373226,0.0216535433070866
"X32",0.0215668539240752,0.107204748833683,0.031496062992126
"X35",0.0157011076235357,0.0018113237828813,0.0216535433070866
"X14",0.0154729651267589,0.0044928873216093,0.0236220472440945
"X24",0.013588796608596,0.00307499365286485,0.031496062992126
"X21",0.0121558251229244,0.00242326055571948,0.0295275590551181
"X33",0.0114250170412984,0.00305281969745675,0.0196850393700787
"X7",0.011292679545737,0.0489847692668465,0.0354330708661417
"X27",0.0112513745267612,0.00213520063059846,0.0255905511811024
"X2",0.00900252909164552,0.00183930546525993,0.015748031496063
"X8",0.00859876664650432,0.0539795939101447,0.0255905511811024
"X26",0.00848136235001434,0.00149490956310392,0.0177165354330709
"X13",0.00786447971081253,0.0160532187429674,0.00590551181102362
"X17",0.00782224887161348,0.00238060894723673,0.0255905511811024
"X20",0.00687527773028323,0.00144494965250951,0.0236220472440945
"X31",0.00661969226390478,0.0100714481280295,0.00984251968503937
"X1",0.00632745184523006,0.00105290968851301,0.0196850393700787
"X22",0.00564962231302176,0.00216303413967367,0.0196850393700787
"X6",0.00526411229684127,0.00255869915841122,0.0177165354330709
"X5",0.00286345664611157,0.0011614551570781,0.0118110236220472
